"numNodes","treatmentID","algorithm","removeOverlap","time","layerCount","displacement","pathLength","overflowSpace","overlapCount","overlapSpace","overDensitySpace","weightedAllocation","weightedAllocatedSpace"
1,0,"none",false,0.09680190000000001,1,0,0,1.25,0,0,0,0,0
1,1,"none",,0.21417959999999997,1,1.2,1.2,0.05,0,0,0,0,0
1,2,"simple",,0.11743320000000002,1,1.2,1.2,0.05,0,0,0,0,0
1,3,"simple",false,0.0151215,1,0,0,1.25,0,0,0,0,0
1,4,"overlap",,0.1342811,1,1.2,1.2,0.05,0,0,0,0,0
1,5,"overlap",false,0.030024600000000002,1,0,0,1.25,0,0,0,0,0
2,0,"none",false,0.017449700000000002,1,0,0,0.3,0.1,0.025,0,0,0
2,1,"none",,0.1463985,1,0.35,0.35,0,0,0,0,0,0
2,2,"simple",,0.1536683,1,0.35,0.35,0,0,0,0,0,0
2,3,"simple",false,0.032808000000000004,1,0,0,0.3,0.1,0.025,0,0,0
2,4,"overlap",,0.0920275,1,0.35,0.35,0,0,0,0,0,0
2,5,"overlap",false,0.0715171,1,0,0,0.3,0.1,0.025,0,0,0
3,0,"none",false,0.014033300000000002,1,0,0,0.35,0.2,1.3666666666666667,0,0,0
3,1,"none",,0.12449149999999998,1,1.7666666666666668,1.7666666666666668,0.05,0,0,0,0,0
3,2,"simple",,0.08517879999999999,1,1.7666666666666668,1.7666666666666668,0.05,0,0,0,0,0
3,3,"simple",false,0.0119772,1,0,0,0.35,0.2,1.3666666666666667,0,0,0
3,4,"overlap",,0.0383187,1,1.7666666666666668,1.7666666666666668,0.05,0,0,0,0,0
3,5,"overlap",false,0.013131199999999999,1,0,0,0.35,0.2,1.3666666666666667,0,0,0
4,0,"none",false,0.012846000000000002,1,0,0,0.05,0.7,2.575,0,0,0
4,1,"none",,0.0613193,1,3.275,3.275,0.05,0,0,0,0,0
4,2,"simple",,0.12211190000000001,1,3.275,3.275,0.05,0,0,0,0,0
4,3,"simple",false,0.032822,1,0,0,0.05,0.7,2.575,0,0,0
4,4,"overlap",,0.09224929999999999,1,3.275,3.275,0.05,0,0,0,0,0
4,5,"overlap",false,0.015088299999999999,1,0,0,0.05,0.7,2.575,0,0,0
5,0,"none",false,0.016288199999999996,1,0,0,4.6,1.7,5.970000000000001,0,0,0
5,1,"none",,0.042817999999999995,1,9.62,9.62,0.1,0,0,0,0,0
5,2,"simple",,0.08268339999999999,1,9.62,9.62,0.1,0,0,0,0,0
5,3,"simple",false,0.014367099999999999,1,0,0,4.6,1.7,5.970000000000001,0,0,0
5,4,"overlap",,0.050899700000000006,1,9.62,9.62,0.1,0,0,0,0,0
